service_id,date,exception_type
299594,20220211,1
299594,20220214,1
299594,20220215,1
299594,20220216,1
299594,20220217,1
299594,20220218,1
299594,20220222,1
299594,20220223,1
299594,20220224,1
299594,20220225,1
299594,20220228,1
299594,20220301,1
299594,20220302,1
299594,20220303,1
299594,20220304,1
304945,20220126,1
304945,20220127,1
304945,20220128,1
304945,20220131,1
304945,20220201,1
304945,20220202,1
304945,20220203,1
304945,20220204,1
304945,20220207,1
304945,20220208,1
304945,20220209,1
304945,20220210,1
304945,20220211,1
304945,20220214,1
304945,20220215,1
304945,20220216,1
304945,20220217,1
304945,20220218,1
304945,20220222,1
304945,20220223,1
304945,20220224,1
304945,20220225,1
304945,20220228,1
304945,20220301,1
304945,20220302,1
304945,20220303,1
304945,20220304,1
301093,20220126,1
301093,20220127,1
301093,20220128,1
301093,20220131,1
301093,20220201,1
301093,20220202,1
301093,20220203,1
301093,20220204,1
301093,20220207,1
301093,20220208,1
301093,20220209,1
301093,20220210,1
301093,20220211,1
301093,20220214,1
301093,20220215,1
301093,20220216,1
301093,20220217,1
301093,20220218,1
301093,20220222,1
301093,20220223,1
301093,20220224,1
301093,20220225,1
301093,20220228,1
301093,20220301,1
301093,20220302,1
301093,20220303,1
301093,20220304,1
305228,20220126,1
305228,20220127,1
305228,20220128,1
305228,20220131,1
305228,20220201,1
305228,20220202,1
305228,20220203,1
305228,20220204,1
305228,20220207,1
305228,20220208,1
305228,20220209,1
305228,20220210,1
305228,20220211,1
305228,20220214,1
305228,20220215,1
305228,20220216,1
305228,20220217,1
305228,20220218,1
305228,20220222,1
305228,20220223,1
305228,20220224,1
305228,20220225,1
305228,20220228,1
305228,20220301,1
305228,20220302,1
305228,20220303,1
305228,20220304,1
300401,20220126,1
300401,20220127,1
300401,20220128,1
300401,20220131,1
300401,20220201,1
300401,20220202,1
300401,20220203,1
300401,20220204,1
300401,20220207,1
300401,20220208,1
300401,20220209,1
300401,20220210,1
300401,20220211,1
300401,20220214,1
300401,20220215,1
300401,20220216,1
300401,20220217,1
300401,20220218,1
300401,20220222,1
300401,20220223,1
300401,20220224,1
300401,20220225,1
300401,20220228,1
300401,20220301,1
300401,20220302,1
300401,20220303,1
300401,20220304,1
305143,20220126,1
305143,20220127,1
305143,20220128,1
305143,20220131,1
305143,20220201,1
305143,20220202,1
305143,20220203,1
305143,20220204,1
305143,20220207,1
305143,20220208,1
305143,20220209,1
305143,20220210,1
305143,20220211,1
305143,20220214,1
305143,20220215,1
305143,20220216,1
305143,20220217,1
305143,20220218,1
305143,20220222,1
305143,20220223,1
305143,20220224,1
305143,20220225,1
305143,20220228,1
305143,20220301,1
305143,20220302,1
305143,20220303,1
305143,20220304,1
301009,20220126,1
301009,20220127,1
301009,20220128,1
301009,20220131,1
301009,20220201,1
301009,20220202,1
301009,20220203,1
301009,20220204,1
301009,20220207,1
301009,20220208,1
301009,20220209,1
301009,20220210,1
301009,20220211,1
301009,20220214,1
301009,20220215,1
301009,20220216,1
301009,20220217,1
301009,20220218,1
